,host_since,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,extra_people,minimum_nights,maximum_nights
0,20090923.0,-33.86916827188995,151.22656222452252,1.0,0.0,1.0,1.0,65.0,0.0,0.0,2.0,180.0
1,20090514.0,-33.86515254975741,151.19189588780822,2.0,1.0,1.0,1.0,98.0,55.0,395.0,2.0,7.0
2,20091130.0,-33.8907654734414,151.20044995288222,2.0,1.0,1.0,1.0,63.0,0.0,40.0,2.0,1125.0
3,20091130.0,-33.889667262858936,151.200896052567,1.0,2.0,1.0,1.0,39.0,0.0,0.0,2.0,1125.0
4,20091203.0,-33.8804548565453,151.2165408022156,2.0,1.0,1.0,1.0,111.0,0.0,10.0,2.0,21.0
5,20100419.0,-33.88908693069203,151.25940396422786,2.0,1.0,1.0,1.0,65.0,25.0,15.0,1.0,60.0
6,20100422.0,-33.879956287537105,151.21552806307542,2.0,1.0,1.0,1.0,129.0,70.0,0.0,2.0,365.0
7,20100426.0,-33.89739307148375,151.2710287941477,4.0,1.0,2.0,3.0,190.0,150.0,0.0,2.0,300.0
8,20120118.0,-33.891846057411946,151.27308432718854,2.0,1.0,1.0,1.0,129.0,60.0,50.0,4.0,90.0
9,20101106.0,-33.81926801850475,151.23652489827802,4.0,1.0,1.0,4.0,140.0,0.0,30.0,2.0,90.0
10,20101206.0,-33.626121460942144,151.33151088583853,2.0,1.0,0.0,1.0,150.0,45.0,0.0,2.0,730.0
11,20101214.0,-33.88568973690269,151.2688648641491,4.0,1.0,2.0,2.0,111.0,100.0,30.0,4.0,14.0
12,20101217.0,-33.81078886501225,151.16072058940597,7.0,1.5,1.0,3.0,55.0,10.0,25.0,1.0,14.0
13,20101218.0,-33.90396448606918,151.1912367803082,2.0,1.0,1.0,1.0,75.0,20.0,0.0,2.0,14.0
14,20101219.0,-33.88327145959429,151.22724714449018,4.0,1.0,1.0,2.0,100.0,25.0,35.0,3.0,730.0
15,20101220.0,-33.87247559050169,151.22814315764802,2.0,1.0,1.0,1.0,75.0,120.0,100.0,7.0,365.0
16,20100707.0,-33.91499570251997,151.14029958382784,2.0,2.0,2.0,2.0,75.0,0.0,50.0,3.0,1125.0
17,20110103.0,-33.729904423584664,151.05138024963244,4.0,3.5,2.0,3.0,89.0,0.0,21.0,2.0,60.0
18,20110112.0,-33.72055285572637,151.2949557146962,2.0,1.0,1.0,1.0,90.0,0.0,35.0,5.0,1125.0
19,20110115.0,-33.90854179669832,151.2502971310841,2.0,1.0,1.0,1.0,50.0,0.0,10.0,3.0,120.0
20,20110120.0,-33.90225505279778,151.20236551291808,1.0,0.0,1.0,1.0,35.0,0.0,15.0,1.0,1.0
21,20110210.0,-33.88671950380456,151.2665570900029,2.0,1.0,1.0,1.0,65.0,100.0,20.0,3.0,1125.0
22,20090514.0,-33.865854411080505,151.1923329525697,2.0,1.0,1.0,1.0,89.0,55.0,395.0,2.0,5.0
23,20110221.0,-33.96472086233717,151.2479669195311,3.0,1.0,1.0,1.0,120.0,0.0,30.0,1.0,60.0
24,20110302.0,-33.91800464360092,151.24371641119757,2.0,1.0,1.0,1.0,85.0,30.0,25.0,3.0,28.0
25,20110307.0,-33.83096185311723,151.21532126153718,1.0,1.0,1.0,1.0,85.0,0.0,0.0,2.0,14.0
26,20110327.0,-34.03599449393447,151.10454217165412,2.0,2.0,1.0,3.0,85.0,0.0,15.0,1.0,1125.0
27,20110320.0,-33.91166408372153,151.20596067067413,2.0,2.0,2.0,1.0,89.0,30.0,35.0,2.0,14.0
28,20110403.0,-33.87168786486878,151.22367987389435,2.0,1.0,1.0,1.0,175.0,0.0,0.0,3.0,730.0
29,20100719.0,-33.88922810524328,151.28399918459561,4.0,1.0,2.0,3.0,160.0,130.0,10.0,2.0,90.0
30,20110428.0,-33.88884606690532,151.27827363405888,4.0,1.0,2.0,2.0,170.0,175.0,0.0,3.0,120.0
31,20110501.0,-33.64963548935286,151.31692479486603,4.0,2.0,2.0,3.0,190.0,140.0,0.0,14.0,60.0
32,20110530.0,-33.89396014632684,151.2049490869621,2.0,1.5,1.0,1.0,90.0,40.0,33.0,1.0,30.0
33,20110411.0,-33.88949736006289,151.260447934503,2.0,1.0,1.0,1.0,90.0,150.0,0.0,3.0,365.0
34,20110613.0,-33.76026239932639,151.15097447161844,3.0,1.0,2.0,2.0,69.0,70.0,25.0,3.0,60.0
35,20110613.0,-33.693999090364144,151.2903600434523,6.0,1.0,3.0,4.0,170.0,150.0,25.0,3.0,365.0
36,20110622.0,-33.87272940652014,151.2237831945726,2.0,1.0,1.0,1.0,120.0,69.0,0.0,1.0,1125.0
37,20110718.0,-33.859267263508166,151.0657601051964,1.0,1.0,1.0,1.0,65.0,0.0,65.0,4.0,60.0
38,20110814.0,-33.902700354159606,151.16472231956712,2.0,0.0,1.0,1.0,49.0,15.0,15.0,3.0,14.0
39,20110418.0,-33.86698522127571,151.22432537667078,2.0,1.0,1.0,1.0,121.0,100.0,0.0,3.0,730.0
40,20110310.0,-33.88773211110839,151.24681654426882,2.0,1.0,1.0,1.0,100.0,50.0,0.0,2.0,30.0
