,price
3414,181.0
7791,94.0
14771,55.0
13645,125.0
3083,98.0
11481,40.0
6700,80.0
14102,75.0
14600,129.0
15414,80.0
6418,75.0
16131,150.0
5557,120.0
13648,61.0
15778,59.0
1303,61.0
20003,44.0
18464,90.0
3768,51.0
20133,75.0
19187,181.0
17349,98.0
2606,146.0
8681,140.0
7324,158.0
6240,181.0
10714,98.0
12102,89.0
21055,40.0
953,100.0
5558,61.0
9767,100.0
10801,98.0
3159,80.0
9500,181.0
11466,170.0
21294,90.0
1670,85.0
3058,61.0
15355,111.0
11584,164.0
5568,98.0
14633,100.0
21429,94.0
7590,170.0
15740,61.0
21213,171.0
21044,129.0
19860,80.0
10979,185.0
20282,100.0
11583,26.0
2644,75.0
10435,34.0
20674,80.0
14955,61.0
8390,94.0
12854,125.0
2242,111.0
14551,150.0
8434,38.0
15326,181.0
12295,129.0
18088,100.0
150,75.0
1978,150.0
589,170.0
13738,150.0
17587,70.0
8832,111.0
6509,61.0
9357,120.0
13657,125.0
10583,164.0
21369,50.0
15335,53.0
2542,90.0
17756,169.0
19726,44.0
16604,100.0
19706,175.0
18306,164.0
12310,120.0
19325,30.0
8742,140.0
1324,120.0
4766,70.0
18067,62.0
14379,159.0
3407,30.0
7284,40.0
12159,44.0
8283,170.0
2785,167.0
13775,160.0
11822,58.0
13489,100.0
18246,55.0
16336,129.0
12867,96.0
14841,170.0
19173,80.0
12194,140.0
21543,160.0
17579,111.0
7690,67.0
6689,88.0
14293,125.0
15713,69.0
11140,55.0
5936,75.0
2572,100.0
6334,90.0
911,181.0
3592,117.0
1364,139.0
119,90.0
12375,40.0
14194,98.0
5356,35.0
5723,150.0
10075,150.0
16291,100.0
5796,80.0
338,125.0
17829,40.0
4846,140.0
4146,70.0
10307,75.0
16337,155.0
17710,65.0
18272,75.0
9254,89.0
10967,146.0
13790,70.0
2496,159.0
21898,44.0
3455,80.0
14280,85.0
11965,55.0
17357,102.0
1795,111.0
1272,26.0
20502,100.0
21134,164.0
8059,40.0
18087,50.0
18438,94.0
21801,150.0
16280,120.0
4724,65.0
18648,78.0
5659,67.0
12878,59.0
21652,139.0
11590,30.0
10080,150.0
1908,189.0
4413,62.0
20586,36.0
20225,159.0
7636,111.0
8052,120.0
18676,57.0
1285,195.0
16982,120.0
6502,96.0
8084,61.0
10600,81.0
16818,179.0
18336,129.0
10930,129.0
6985,150.0
2302,100.0
14636,129.0
15363,69.0
6009,115.0
13345,150.0
15711,150.0
19005,147.0
12618,53.0
1397,75.0
10911,92.0
10193,125.0
16592,50.0
304,150.0
21122,129.0
9183,61.0
3501,170.0
5065,80.0
19405,100.0
8145,90.0
6519,138.0
9540,179.0
18515,150.0
10885,61.0
11996,142.0
3032,120.0
701,50.0
4901,54.0
19321,135.0
15626,100.0
3113,98.0
11730,111.0
1119,129.0
19359,85.0
13233,140.0
9367,100.0
3503,150.0
5515,160.0
19224,85.0
14290,90.0
20876,30.0
18370,100.0
5292,98.0
4414,80.0
20212,80.0
12957,44.0
2893,65.0
11974,97.0
13187,140.0
8747,111.0
8874,58.0
7175,100.0
17372,96.0
9435,150.0
4717,67.0
18328,98.0
5186,150.0
18341,128.0
12567,70.0
19433,53.0
14451,179.0
13100,100.0
13630,109.0
3315,150.0
15096,129.0
11729,150.0
18410,75.0
3804,109.0
3778,120.0
2036,150.0
9480,65.0
9333,195.0
553,112.0
95,171.0
4879,150.0
12304,26.0
15342,61.0
7754,120.0
11868,160.0
1608,63.0
6731,107.0
20254,174.0
12004,100.0
21210,100.0
89,53.0
8334,73.0
942,190.0
4775,146.0
8850,98.0
20154,70.0
17109,70.0
20085,109.0
17250,115.0
5952,65.0
10133,61.0
12851,115.0
13586,61.0
2958,35.0
5820,50.0
14089,36.0
14954,190.0
18006,150.0
9413,120.0
11796,70.0
19364,181.0
3580,35.0
828,71.0
8415,129.0
19193,190.0
8296,50.0
7687,150.0
15822,44.0
21384,75.0
19475,100.0
19765,150.0
5605,111.0
16522,84.0
7748,98.0
13605,49.0
1481,115.0
10444,65.0
6042,50.0
11663,150.0
8509,80.0
19891,160.0
14159,13.0
4841,150.0
8923,105.0
20077,36.0
14649,125.0
19899,140.0
18437,65.0
12717,86.0
3536,69.0
10706,98.0
19301,181.0
21353,140.0
699,146.0
2556,100.0
873,139.0
3847,108.0
1642,35.0
19961,61.0
4154,150.0
6384,140.0
2137,121.0
5394,160.0
6174,116.0
11471,90.0
9934,151.0
12150,50.0
18925,146.0
4744,120.0
7125,88.0
7067,94.0
10257,90.0
21424,40.0
6838,80.0
866,69.0
9179,40.0
2892,150.0
13881,98.0
21758,116.0
20255,65.0
8891,189.0
10012,62.0
16923,150.0
6831,75.0
6821,35.0
10645,50.0
20659,120.0
13713,119.0
4168,111.0
2215,90.0
135,181.0
5661,85.0
15815,98.0
11644,35.0
6298,170.0
9097,187.0
14680,63.0
9188,61.0
16183,65.0
20880,120.0
9157,94.0
17108,189.0
12553,100.0
6683,66.0
15589,100.0
16563,80.0
9775,179.0
2869,169.0
14565,142.0
21037,80.0
1971,185.0
10412,100.0
13667,131.0
16538,70.0
19035,129.0
2074,61.0
2895,129.0
11745,70.0
7455,44.0
19995,100.0
10078,90.0
10835,55.0
8565,75.0
4850,186.0
